EQ,ATFL,870.8,1.09,2122.08,0.29,2.57
EQ,ATGL,869.5,1.45,95628.49,6.16,53.63
EQ,ATL,49.14,0.16,1207.35,2.31,1.15
BE,ATLANTAA,47.62,-2.02,388.1,0.02,0.01
ST,ATMASTCO,264.0,-3.47,653.0,1.22,3.21
EQ,ATUL,7818.5,1.47,23019.04,0.25,19.68
BE,ATULAUTO,674.4,1.12,1871.55,0.29,1.94
EQ,AUBANK,639.9,1.25,47554.75,7.51,48.11
SM,AURDIS,284.95,-0.25,233.66,0.15,0.44
EQ,AURIONPRO,1556.8,-4.2,8595.64,0.39,6.13
SM,AUROIMPEX,74.9,-0.13,91.38,0.21,0.15
EQ,AUROPHARMA,1426.1,0.34,83560.71,2.31,33.03
EQ,AURUM,203.57,3.88,594.21,6.5,13.48
E1,AURUMPP1,170.0,5.2,679.9,0.36,0.62
BE,AUSOMENT,93.35,3.15,127.18,0.01,0.01
EQ,AUTOAXLES,2005.0,-0.45,3029.95,0.08,1.56
EQ,AUTOBEES,254.9,-0.12,213.54,1.27,3.25
EQ,AUTOIETF,25.49,0.67,83.52,8.46,2.16
EQ,AUTOIND,138.94,5.19,541.35,2.58,3.56
EQ,AVADHSUGAR,599.3,1.52,1199.7,0.3,1.82
EQ,AVALON,499.35,2.24,3287.88,0.25,1.23
EQ,AVANTEL,188.2,1.4,4578.33,3.08,5.88
EQ,AVANTIFEED,675.85,1.72,9208.16,5.55,37.87
EQ,AVG,484.4,0.0,661.58,0.11,0.51
BE,AVONMORE,14.93,-2.03,348.66,0.17,0.03
SM,AVPINFRA,141.0,-0.04,352.21,0.54,0.78
EQ,AVROIND,122.61,4.95,123.68,0.5,0.61
EQ,AVTNPL,86.22,0.82,1312.99,0.72,0.62
EQ,AWFIS,629.05,0.54,4366.85,0.51,3.22
EQ,AWHCL,797.2,2.65,2262.62,1.57,12.55
EQ,AWL,380.45,-0.5,49446.27,73.44,286.14
EQ,AXISBANK,1136.8,0.29,351398.57,27.55,313.49
EQ,AXISBNKETF,512.75,0.48,262.95,0.01,0.03
EQ,AXISBPSETF,11.92,0.08,1760.47,0.24,0.03
EQ,AXISCADES,528.0,4.48,2214.87,7.44,39.99
EQ,AXISCETF,118.46,0.44,15.45,0.0,0.0
EQ,AXISGOLD,58.86,-0.69,914.73,1.92,1.13
EQ,AXISHCETF,139.03,-0.03,20.22,0.17,0.24
EQ,AXISILVER,80.8,-2.78,113.9,0.35,0.29
EQ,AXISNIFTY,262.66,0.73,759.67,0.05,0.13
EQ,AXISTECETF,415.17,1.36,148.24,0.01,0.05
EQ,AXITA,25.23,1.65,658.2,20.11,5.12
EQ,AXSENSEX,80.79,0.34,127.17,0.0,0.0
EQ,AYMSYNTEX,144.43,10.52,732.71,2.02,2.84
EQ,AZAD,1537.9,-1.34,9090.99,0.67,10.37
SM,BABAFP,52.0,1.07,84.9,0.26,0.13
BE,BAFNAPH,86.09,1.88,203.66,0.0,0.0
EQ,BAGFILMS,9.1,9.9,179.95,8.55,0.77
SM,BAHETI,304.0,0.0,315.2,0.01,0.05
EQ,BAIDFIN,15.68,1.23,188.27,4.58,0.72
EQ,BAJAJ-AUTO,9521.0,0.38,265807.05,0.66,63.31
EQ,BAJAJCON,273.9,5.96,3911.12,6.92,18.78
EQ,BAJAJELEC,974.6,1.23,11230.6,0.06,0.55
EQ,BAJAJFINSV,1577.0,0.59,251793.61,4.69,74.21
EQ,BAJAJHCARE,361.85,1.92,998.65,1.24,4.47
EQ,BAJAJHIND,40.47,1.71,5169.48,90.99,37.06
EQ,BAJAJHLDNG,9300.05,1.96,103503.52,0.08,7.09
EQ,BAJEL,274.65,1.4,3167.81,2.09,5.75
EQ,BAJFINANCE,6610.75,0.21,409179.85,2.73,181.21
EQ,BALAJITELE,69.84,3.82,709.08,2.15,1.47
EQ,BALAMINES,2347.0,2.79,7604.51,0.41,9.65
EQ,BALAXI,116.58,5.28,643.61,0.23,0.27
EQ,BALKRISHNA,23.99,2.22,77.29,0.16,0.04
EQ,BALKRISIND,3176.35,0.66,61404.31,1.15,36.78
EQ,BALMLAWRIE,271.8,1.21,4647.88,2.2,5.99
EQ,BALPHARMA,119.97,-0.98,189.61,0.2,0.25
EQ,BALRAMCHIN,473.65,-0.01,9555.85,21.61,103.71
EQ,BALUFORGE,493.45,2.93,5062.4,6.68,33.01
EQ,BANARBEADS,100.71,3.65,66.83,0.06,0.06
EQ,BANARISUG,3235.0,1.61,4056.59,0.03,0.89
EQ,BANCOINDIA,684.9,0.5,4898.31,0.81,5.55
EQ,BANDHANBNK,203.4,0.57,32767.13,39.36,80.45
EQ,BANG,52.37,5.12,71.01,0.14,0.07
BE,BANKA,117.0,-1.91,126.91,0.01,0.02
EQ,BANKBARODA,243.5,1.48,125922.67,126.9,310.31
EQ,BANKBEES,515.17,0.07,6586.41,3.84,19.84
EQ,BANKBETF,50.5,-0.18,229.01,0.08,0.04
EQ,BANKETF,505.22,0.15,124.7,0.02,0.12
EQ,BANKETFADD,50.93,-0.18,517.76,0.09,0.05
EQ,BANKIETF,51.0,0.16,2912.56,0.95,0.49
EQ,BANKINDIA,121.65,-0.57,55383.2,41.0,50.07
EQ,BANKNIFTY1,515.85,0.36,5710.3,0.23,1.18
EQ,BANSALWIRE,360.15,0.26,5638.36,2.05,7.37
EQ,BANSWRAS,170.94,9.37,585.16,1.65,2.73
EQ,BARBEQUE,537.15,-0.37,2098.76,0.17,0.9
EQ,BASF,5919.95,3.1,25624.88,0.15,8.79
ST,BASILIC,539.85,-1.18,1254.61,0.17,0.96
EQ,BASML,56.86,4.75,368.69,4.8,2.73
EQ,BATAINDIA,1540.1,-1.1,19794.53,2.55,39.69
SM,BAWEJA,93.75,4.69,172.75,0.29,0.27
EQ,BAYERCROP,6751.35,1.72,33829.16,0.03,2.17
EQ,BBETF0432,1165.0,0.06,11231.56,0.02,0.18
EQ,BBL,4641.0,0.16,5245.78,0.15,6.98
EQ,BBNPNBETF,49.95,-0.6,10.43,0.01,0.0
EQ,BBNPPGOLD,68.1,-0.8,65.92,0.0,0.0
BE,BBOX,550.0,-2.7,9244.13,2.68,15.03
EQ,BBTC,2192.15,2.55,15295.05,0.44,9.57
EQ,BBTCL,244.01,2.4,500.49,0.02,0.04
EQ,BCLIND,57.79,1.94,1705.75,6.81,3.93
EQ,BCONCEPTS,570.65,0.96,636.72,0.04,0.21
EQ,BDL,1366.3,1.88,50083.43,7.68,105.67
SM,BEACON,113.2,-1.57,204.49,0.24,0.28
EQ,BEARDSELL,35.53,0.68,140.12,0.3,0.11
EQ,BECTORFOOD,1338.4,1.13,7872.13,0.37,4.94
EQ,BEDMUTHA,208.0,-0.46,671.09,0.02,0.05
